x;y;o;e;m;t;s;owner
513;181;86;71;86;74;97;
518;181;66;85;92;3;92;
527;181;87;88;79;56;84;
547;181;59;76;84;80;84;
549;181;69;80;19;29;81;
551;181;63;75;76;37;75;
555;181;89;91;80;37;77;
556;181;65;13;97;29;95;
557;181;81;78;69;51;90;
564;181;76;82;5;79;79;
565;181;73;70;81;67;80;
567;181;76;77;72;40;81;
570;181;97;84;68;8;83;Лунный Король
571;181;74;73;73;12;71;Лунный Король
578;181;15;72;74;97;90;
580;181;65;77;83;92;80;
583;181;74;16;73;49;97;
398;182;79;69;75;35;91;
399;182;75;83;89;78;1;
440;182;93;17;73;66;83;
447;182;85;17;77;47;87;
515;182;82;70;1;46;97;
516;182;82;78;74;96;80;
518;182;0;0;0;0;80;
526;182;74;50;4;64;83;
550;182;72;79;84;40;82;
551;182;67;89;82;60;77;
555;182;70;88;82;21;82;
557;182;54;82;81;69;82;
570;182;88;77;96;55;78;
571;182;81;87;92;56;72;
572;182;77;75;88;61;96;
574;182;83;84;72;17;85;
575;182;80;93;81;89;88;
577;182;84;77;92;51;86;
579;182;0;0;0;0;80;
393;183;67;32;78;66;80;
401;183;97;76;39;53;80;
441;183;82;87;86;11;81;
453;183;65;77;4;72;90;
517;183;77;88;1;53;82;
525;183;70;90;71;59;88;
538;183;0;0;0;0;90;
539;183;69;49;95;11;95;
544;183;80;83;77;64;79;
545;183;95;25;72;28;76;
563;183;84;8;74;81;86;
564;183;84;4;76;13;85;Лунный Король
567;183;74;78;78;52;82;
572;183;94;71;72;13;88;Лунный Король
573;183;65;16;14;52;95;
574;183;80;1;80;78;87;
575;183;72;79;83;74;81;
581;183;82;66;83;88;92;Газонокосильщик
584;183;83;74;81;67;80;
590;183;6;73;74;85;91;
397;184;78;87;74;32;82;
401;184;91;84;89;77;91;Eye
402;184;79;80;79;44;85;
413;184;87;77;21;93;82;
416;184;65;78;75;35;85;
442;184;88;96;84;40;95;
444;184;84;86;88;6;77;
452;184;81;75;69;49;80;
516;184;67;85;97;72;82;
517;184;75;62;8;36;81;
529;184;64;12;75;11;80;
530;184;73;11;16;4;81;
536;184;0;0;0;0;90;
540;184;99;71;1;11;95;
542;184;99;83;78;41;93;Limu
547;184;87;76;84;52;90;
551;184;85;71;51;71;86;
552;184;88;74;72;48;81;
557;184;73;44;92;56;70;
563;184;78;73;79;21;83;Лунный Король
564;184;65;54;83;32;71;
565;184;84;72;80;6;77;
566;184;78;87;87;26;75;
567;184;81;66;71;44;81;
569;184;89;54;86;34;97;Limu
570;184;82;73;73;57;88;
571;184;74;70;88;25;90;
572;184;69;68;72;25;88;
573;184;77;74;88;7;4;
575;184;99;38;9;19;87;Лунный Король
577;184;13;3;85;34;88;
578;184;68;90;76;75;83;
587;184;73;82;95;47;78;
396;185;89;22;25;41;83;
397;185;83;85;72;17;88;
410;185;77;75;65;89;83;
412;185;77;82;71;72;99;
414;185;69;71;62;42;81;
422;185;0;0;0;0;60;
441;185;26;82;30;24;86;
446;185;78;66;80;64;83;
453;185;50;85;70;13;85;
518;185;67;89;39;97;93;
519;185;38;55;69;5;85;
524;185;70;77;88;61;91;
539;185;80;69;65;15;83;
540;185;85;14;85;51;95;
546;185;75;88;14;50;62;
550;185;76;74;75;60;80;
552;185;81;86;89;58;74;
555;185;75;60;88;66;81;
557;185;72;79;80;16;83;
562;185;67;82;91;90;75;
563;185;79;45;72;67;70;
565;185;92;22;62;43;82;
566;185;80;96;83;16;24;
567;185;91;77;21;88;81;
569;185;81;82;84;44;77;
570;185;79;89;69;71;91;
572;185;78;4;82;86;80;
582;185;31;95;70;25;82;
585;185;74;77;86;29;81;
586;185;97;70;83;39;92;
406;186;85;90;73;80;88;
409;186;73;88;80;47;88;
412;186;67;89;75;65;87;
413;186;74;98;28;22;84;
419;186;7;86;72;13;80;
525;186;70;81;84;75;80;
526;186;52;61;81;40;87;
540;186;75;64;65;71;85;
541;186;88;73;5;11;95;
542;186;90;14;90;8;86;
549;186;76;75;72;24;88;
550;186;79;89;85;77;74;
551;186;57;89;1;54;83;
556;186;66;69;21;78;67;
557;186;86;83;69;12;94;
563;186;70;76;91;9;86;
564;186;75;73;70;48;78;Zum1
565;186;98;84;77;33;78;
567;186;87;79;73;57;72;
568;186;85;86;83;35;87;
569;186;71;70;58;13;84;
578;186;72;82;78;30;92;
580;186;72;83;70;1;92;Лунный Король
583;186;77;78;82;97;77;
584;186;83;71;72;13;81;
586;186;84;85;75;26;62;
589;186;81;69;78;77;94;
592;186;99;64;76;85;83;
394;187;85;76;72;19;92;
398;187;78;7;71;26;93;
403;187;9;85;76;28;80;
411;187;81;76;2;59;96;
419;187;66;81;25;87;83;
486;187;0;0;0;0;70;
489;187;0;0;0;0;70;
526;187;94;89;89;47;93;
528;187;71;72;93;59;86;
545;187;75;69;82;93;82;
549;187;87;76;94;57;21;
550;187;79;72;78;76;79;Zum6
551;187;87;81;73;69;80;
555;187;74;60;13;66;70;
556;187;84;69;67;15;90;
557;187;93;74;74;98;86;
559;187;82;88;31;18;87;
566;187;76;78;11;53;75;
570;187;85;46;74;91;85;
574;187;71;18;92;31;80;
589;187;77;73;54;74;81;
593;187;81;70;75;49;92;Тени Леса
398;188;60;77;73;88;87;
406;188;94;79;73;29;82;
407;188;67;89;77;45;83;
410;188;69;73;4;74;88;
411;188;1;88;74;60;86;
413;188;85;75;83;65;80;
487;188;88;73;82;90;91;
489;188;70;63;72;91;85;
495;188;75;11;57;34;89;
496;188;1;56;83;38;94;
516;188;76;71;9;30;98;
522;188;82;91;5;71;92;
528;188;78;74;79;33;93;
530;188;89;83;76;34;80;
535;188;0;0;0;0;90;
545;188;70;90;68;75;95;
546;188;75;86;84;19;69;
548;188;77;66;98;51;93;
554;188;76;73;91;46;78;
555;188;92;37;95;94;88;Дубс
558;188;80;86;83;61;93;
559;188;74;75;83;18;79;
565;188;72;85;8;74;65;
568;188;72;81;73;70;73;
570;188;76;67;25;19;24;
572;188;80;84;8;21;84;
573;188;88;13;76;20;90;Лунный Король
580;188;3;7;77;30;95;
584;188;85;93;95;53;91;Limu
589;188;71;73;84;31;90;
591;188;73;90;96;56;82;
401;189;11;73;72;73;77;
403;189;79;92;90;13;84;
405;189;20;66;36;45;90;
406;189;87;81;79;59;96;Eye
407;189;74;47;87;18;81;
410;189;19;75;97;86;87;
414;189;73;77;84;75;87;
415;189;80;82;3;3;86;
416;189;84;92;11;28;84;
487;189;0;0;0;0;70;
488;189;70;86;77;32;99;
490;189;72;70;40;85;80;
493;189;60;17;59;70;84;
494;189;81;68;75;16;87;
496;189;83;63;89;35;83;
516;189;63;78;3;69;85;
517;189;92;85;96;84;81;
524;189;97;93;77;34;93;
525;189;85;70;81;66;81;
528;189;81;72;75;33;82;
540;189;73;18;25;27;84;
542;189;78;27;87;69;91;
553;189;91;79;84;68;91;
554;189;89;3;71;14;91;
556;189;76;49;80;98;86;
566;189;79;87;2;78;93;Дубс
567;189;72;24;81;30;92;
571;189;95;9;76;86;83;
573;189;74;74;68;33;90;
580;189;70;43;88;47;81;
585;189;82;84;71;9;86;
590;189;74;85;83;86;90;
596;189;0;0;0;0;90;
406;190;77;96;58;18;98;
407;190;5;87;9;58;80;
411;190;63;83;56;29;86;
416;190;97;88;78;33;82;
487;190;70;89;95;67;82;
489;190;0;0;0;0;70;
490;190;50;82;94;58;80;
496;190;92;53;88;71;81;
522;190;81;72;67;83;85;
523;190;76;70;77;93;79;Ocular-21
524;190;70;74;89;96;91;
525;190;96;69;92;50;77;
527;190;89;82;80;61;83;
528;190;86;9;87;20;72;
529;190;90;73;75;52;86;
533;190;73;73;70;13;78;
534;190;73;79;13;69;70;
537;190;79;91;74;15;76;
540;190;66;68;10;96;85;
544;190;76;71;78;43;83;
545;190;90;71;99;70;83;
547;190;78;82;20;26;86;
550;190;74;83;71;44;71;
551;190;95;37;77;95;89;
555;190;83;82;74;78;91;
557;190;93;83;72;23;98;
558;190;79;93;80;57;84;
570;190;65;73;57;56;82;
574;190;87;85;79;26;86;
576;190;94;9;71;83;94;Газонокосильщик
579;190;20;80;80;59;96;
580;190;60;89;80;63;95;
582;190;76;68;73;43;82;
586;190;73;99;73;9;96;
587;190;88;79;74;86;94;
588;190;8;12;82;59;24;
590;190;10;86;72;97;87;
597;190;0;0;0;0;90;Тени Леса
400;191;74;79;71;82;91;
405;191;22;76;82;80;82;
412;191;78;93;70;71;91;
414;191;36;76;39;13;82;
416;191;89;89;84;74;81;
482;191;3;73;88;54;86;
484;191;67;94;90;86;82;
489;191;39;69;90;77;86;
492;191;77;13;72;62;84;
494;191;78;77;68;85;83;
496;191;23;82;71;23;90;
523;191;87;63;56;65;88;
524;191;0;0;0;0;70;
526;191;74;77;67;78;76;
537;191;0;0;0;0;70;
542;191;98;37;81;10;92;
545;191;73;93;86;45;83;
548;191;83;82;75;13;80;
549;191;89;80;94;74;82;Тупс
550;191;62;81;76;27;98;
551;191;88;32;31;18;92;
552;191;85;9;76;47;81;
555;191;78;88;80;59;93;
557;191;89;84;73;82;76;
568;191;96;30;82;44;82;
571;191;72;80;87;22;96;
576;191;94;87;86;25;87;
578;191;71;76;78;81;72;Газонокосильщик
581;191;77;31;80;56;81;
582;191;73;96;79;44;84;
583;191;70;86;75;96;77;
587;191;45;74;85;18;84;
590;191;99;93;80;65;84;
593;191;81;77;87;72;91;
594;191;98;87;67;62;97;
395;192;77;77;73;25;90;
399;192;98;80;1;80;92;
400;192;72;67;66;30;90;
404;192;90;70;71;3;86;
408;192;72;81;96;34;81;
414;192;77;85;78;54;84;
415;192;59;60;72;16;98;
416;192;16;73;88;42;83;
417;192;81;76;77;28;94;
419;192;69;97;73;24;84;
483;192;76;86;72;34;90;
485;192;0;0;0;0;70;
489;192;82;30;93;56;85;
492;192;66;80;25;63;89;
521;192;81;83;90;4;88;
522;192;94;37;86;83;80;
523;192;72;69;67;18;91;
524;192;75;6;97;63;97;
525;192;78;73;67;69;76;
529;192;72;74;74;28;85;
530;192;86;75;89;14;70;
538;192;80;75;70;78;83;
552;192;98;75;72;39;84;
558;192;80;45;10;90;96;
560;192;83;73;75;76;82;
562;192;83;93;1;51;81;
574;192;83;99;69;18;76;
577;192;94;5;80;66;90;
582;192;71;75;81;60;72;
583;192;84;77;84;67;86;
585;192;94;13;82;71;81;
403;193;76;91;68;42;88;
405;193;78;90;70;91;91;
407;193;6;55;71;33;83;
408;193;73;99;77;20;95;
410;193;17;99;3;59;96;
411;193;4;71;28;59;80;
414;193;57;99;84;67;87;
416;193;66;81;73;8;84;
419;193;76;71;76;32;88;
483;193;92;81;93;20;78;
485;193;70;1;92;4;91;
490;193;80;70;76;27;75;
496;193;32;97;83;86;99;
520;193;85;11;72;84;92;
524;193;0;0;0;0;70;
527;193;82;17;77;80;88;
528;193;0;0;0;0;70;
531;193;73;85;76;47;79;
533;193;68;73;26;14;90;
551;193;30;72;88;89;88;Дубс
555;193;89;7;78;18;88;
556;193;99;13;21;93;94;
560;193;84;19;34;81;89;
561;193;93;75;77;25;96;
562;193;75;78;22;18;83;
569;193;94;77;81;69;94;
574;193;81;88;60;21;80;
575;193;72;75;72;9;84;
576;193;0;0;0;0;0;
578;193;79;18;77;64;80;
579;193;82;93;83;76;93;Газонокосильщик
584;193;80;79;98;59;82;
585;193;78;63;64;49;72;Zum4
586;193;98;91;80;80;90;Газонокосильщик
591;193;70;76;70;24;73;
594;193;70;84;95;31;90;
400;194;65;91;75;68;88;
403;194;76;63;16;2;90;
405;194;88;86;74;12;86;
406;194;62;93;80;99;83;
409;194;76;77;83;38;83;
413;194;79;96;61;53;81;
416;194;49;79;22;62;83;
417;194;91;83;84;55;80;
418;194;87;78;85;83;82;
484;194;81;83;90;57;87;
489;194;76;68;71;89;77;Ocular-18
493;194;78;80;86;51;94;
494;194;91;75;80;78;92;
495;194;83;79;95;35;94;
519;194;79;64;2;53;81;
522;194;0;0;0;0;80;
523;194;82;20;73;30;84;
524;194;92;9;75;85;94;
526;194;92;91;77;68;87;
527;194;71;89;86;51;75;
529;194;80;70;78;70;81;
530;194;89;21;67;22;92;
531;194;86;74;78;18;84;
532;194;83;78;84;34;80;
552;194;70;12;82;72;81;
560;194;93;1;50;84;82;
568;194;95;17;70;63;77;
578;194;4;85;81;79;83;
583;194;82;71;84;67;84;
585;194;83;8;75;48;97;
588;194;77;4;72;42;97;
401;195;90;83;72;16;83;
404;195;42;82;64;55;88;
405;195;81;71;78;41;2;
406;195;12;92;69;59;82;
413;195;10;90;84;52;82;
416;195;69;98;83;21;89;
417;195;75;68;63;86;93;
418;195;3;76;86;83;85;
431;195;85;72;88;35;82;
435;195;0;0;0;0;70;
437;195;82;6;82;78;87;
482;195;85;2;66;66;80;
483;195;75;98;59;39;88;
488;195;92;42;50;24;81;
489;195;77;4;80;3;87;
491;195;75;23;82;54;87;
493;195;72;19;73;85;85;
494;195;78;72;91;4;82;
520;195;72;85;69;38;97;
524;195;71;79;83;28;85;
528;195;88;76;76;51;82;
532;195;89;70;17;4;74;
543;195;0;0;0;0;90;
553;195;98;19;74;73;83;
555;195;79;87;65;56;83;
557;195;72;73;81;67;84;
576;195;6;87;82;46;91;
578;195;84;80;73;86;85;
581;195;84;79;73;18;82;
587;195;9;72;84;36;92;
590;195;81;69;96;15;94;
401;196;93;94;80;34;90;
402;196;74;75;94;55;93;
404;196;75;98;5;83;81;
406;196;70;71;76;77;86;
407;196;80;76;14;78;98;
408;196;76;78;76;84;82;
409;196;72;85;41;84;99;
410;196;66;71;5;85;97;
413;196;75;83;98;29;93;Eye
414;196;83;83;85;15;89;
415;196;82;73;66;21;83;
418;196;9;75;73;27;92;
419;196;51;84;39;75;90;
430;196;74;66;71;58;75;
431;196;83;72;69;59;85;
434;196;0;0;0;0;70;
435;196;70;92;83;52;78;
437;196;76;77;79;32;86;
438;196;0;0;0;0;70;
482;196;42;68;81;6;83;
489;196;64;75;71;72;89;
490;196;71;68;91;71;96;
491;196;82;71;84;30;91;
492;196;65;83;78;93;85;
519;196;89;61;75;32;89;
522;196;69;7;80;20;83;
523;196;80;86;96;65;99;
526;196;0;0;0;0;70;
527;196;89;72;78;92;74;
531;196;86;70;73;37;85;
532;196;0;0;0;0;70;
557;196;97;77;69;63;80;
559;196;92;83;68;9;80;
560;196;79;96;75;90;88;
574;196;68;86;67;55;89;
575;196;92;71;57;60;99;
577;196;75;85;80;94;86;
578;196;82;1;77;28;90;
398;197;87;82;57;41;96;
400;197;78;97;88;24;97;
401;197;6;85;76;5;97;
408;197;83;96;74;61;82;
411;197;70;66;91;77;96;
413;197;26;71;74;63;83;
415;197;71;71;70;76;83;
433;197;77;21;82;47;80;
437;197;74;73;90;80;83;
494;197;76;88;89;32;82;
523;197;77;58;63;78;82;
527;197;87;53;4;77;92;
528;197;74;72;78;57;80;
529;197;87;66;81;76;98;Тупс
530;197;70;1;80;23;87;
531;197;77;75;74;3;74;Ocular-25
532;197;78;80;7;91;71;
534;197;57;87;98;67;80;
553;197;60;72;7;62;83;
558;197;68;93;86;25;81;
564;197;76;77;61;88;99;Дубс
577;197;94;2;83;83;73;
578;197;35;75;82;66;88;
584;197;4;75;80;93;92;Газонокосильщик
588;197;5;8;77;62;72;
589;197;80;74;83;65;94;
397;198;80;75;74;81;85;
400;198;80;74;3;44;80;
403;198;79;71;86;62;87;
412;198;81;73;81;67;84;
413;198;67;79;83;31;81;
415;198;97;68;69;39;99;
417;198;71;78;61;50;99;
419;198;78;86;1;38;85;
421;198;0;0;0;0;80;
426;198;0;0;0;0;80;
437;198;59;86;11;96;84;
487;198;3;83;96;51;81;
488;198;75;58;68;47;86;
491;198;88;71;82;52;83;
528;198;67;75;98;18;84;
529;198;87;59;56;61;70;
562;198;78;78;16;7;90;
580;198;90;15;79;21;79;
581;198;0;0;0;0;80;Газонокосильщик
399;199;74;63;52;80;94;
402;199;13;79;96;60;84;
406;199;75;85;71;35;92;
407;199;73;56;74;83;80;
410;199;0;0;0;0;80;
412;199;96;66;81;82;88;
415;199;74;70;20;25;81;
417;199;72;81;11;33;84;
422;199;97;80;70;62;80;Eye
432;199;74;14;66;62;81;
433;199;78;65;80;46;92;
442;199;63;62;30;62;86;
482;199;0;0;0;0;70;
484;199;0;0;0;0;70;
485;199;0;0;0;0;70;
490;199;75;70;99;55;90;
493;199;81;72;67;75;87;
524;199;99;52;88;47;80;
529;199;89;3;80;91;71;
530;199;70;77;67;91;86;
532;199;93;74;89;35;87;
554;199;68;76;90;89;93;
555;199;88;85;87;92;80;
556;199;69;8;80;57;88;
564;199;70;41;78;68;93;
565;199;74;1;86;77;99;
581;199;91;74;75;43;90;
584;199;80;78;79;38;88;
586;199;1;71;99;54;81;
397;200;83;76;94;9;90;
401;200;75;91;70;33;98;
404;200;0;0;0;0;0;
405;200;2;75;74;92;30;
406;200;84;85;18;63;80;
419;200;16;74;80;37;81;
421;200;69;91;70;14;88;
422;200;56;92;88;88;81;
432;200;4;72;73;77;96;
435;200;66;76;79;95;90;
436;200;78;40;69;67;97;
482;200;80;93;83;58;87;
486;200;97;95;80;25;98;
487;200;93;73;71;33;95;
488;200;1;97;70;28;94;
524;200;78;78;78;72;76;
525;200;72;77;78;18;78;
526;200;66;91;89;32;96;
530;200;80;76;3;47;84;
532;200;90;89;77;8;73;
580;200;77;88;80;32;93;
581;200;99;76;78;65;71;
582;200;77;82;83;88;82;
583;200;85;76;68;9;87;
587;200;81;74;1;7;74;
403;201;76;72;82;81;77;
404;201;80;72;92;12;73;
405;201;0;0;0;0;0;
406;201;93;77;79;21;74;
408;201;86;85;72;50;82;
409;201;81;26;83;30;98;
412;201;87;69;93;34;81;
417;201;73;77;85;35;90;
423;201;70;78;85;91;95;
424;201;96;3;95;92;96;
433;201;23;87;77;24;82;
442;201;79;72;75;49;86;
485;201;84;88;93;68;82;
486;201;69;10;84;56;81;
490;201;56;85;98;42;91;
526;201;68;88;93;27;94;
527;201;85;88;29;52;71;
528;201;2;73;21;2;85;
530;201;68;81;89;97;78;
564;201;1;76;78;15;86;
573;201;72;96;15;63;81;
574;201;77;78;17;39;83;
576;201;75;79;54;36;82;
578;201;69;69;54;80;80;
579;201;65;72;77;68;22;
582;201;70;84;5;24;71;
586;201;72;98;88;10;95;
401;202;0;0;0;0;80;
402;202;75;49;83;17;84;
403;202;0;0;0;0;0;
404;202;73;71;78;70;76;Palantiri-3
405;202;63;15;89;65;44;
406;202;78;15;37;68;78;
408;202;78;84;68;83;82;
410;202;81;85;73;73;97;
413;202;3;18;90;72;89;
419;202;80;87;71;28;99;
433;202;10;75;75;70;76;
435;202;13;80;91;22;95;
436;202;70;69;78;83;77;Ocular-20
437;202;57;84;73;10;71;
492;202;77;3;81;49;86;
494;202;0;0;0;0;70;
525;202;69;75;93;14;75;
526;202;9;74;75;81;86;
555;202;80;78;60;72;89;Тупс
557;202;83;93;69;57;95;
564;202;23;93;81;28;90;
565;202;74;75;71;26;85;
567;202;81;74;15;25;97;
573;202;79;71;76;89;80;
576;202;82;79;7;53;88;
577;202;71;75;72;71;70;
578;202;12;73;83;91;74;
581;202;30;80;94;57;79;
582;202;71;98;21;29;70;
593;202;10;71;16;17;91;
399;203;70;77;83;53;86;
400;203;74;98;79;57;93;
403;203;97;28;83;68;89;
404;203;87;78;95;36;26;
405;203;89;7;72;82;91;
407;203;2;64;81;40;94;
412;203;60;6;81;11;98;
413;203;89;84;85;38;81;
416;203;1;66;84;68;81;
425;203;68;57;95;64;91;
433;203;9;76;93;10;91;
436;203;0;0;0;0;70;
437;203;80;71;78;84;95;
477;203;81;87;85;4;95;
487;203;81;76;83;88;80;
488;203;88;82;58;39;82;
491;203;75;95;93;76;84;
556;203;76;60;70;41;79;
559;203;84;73;6;50;86;
570;203;18;77;85;58;93;
572;203;77;85;6;90;84;
575;203;85;83;70;8;92;
576;203;77;93;83;60;82;
581;203;71;78;87;71;45;
586;203;70;93;76;62;84;
400;204;93;12;70;21;95;
401;204;85;93;69;26;88;
403;204;77;93;79;5;99;
404;204;89;76;73;67;76;
405;204;6;87;84;21;94;
409;204;82;81;77;75;95;
418;204;91;53;70;53;95;
419;204;53;28;78;19;98;
420;204;70;72;81;74;87;
425;204;7;79;83;34;94;
429;204;7;84;74;67;95;
433;204;73;71;92;45;80;
436;204;65;56;85;91;80;
449;204;84;79;73;73;83;
464;204;77;21;74;94;81;
466;204;80;97;95;47;92;
488;204;85;63;83;91;87;
489;204;60;10;86;13;94;
490;204;12;71;73;34;95;
500;204;94;73;99;7;85;
544;204;0;0;0;0;80;
545;204;0;0;0;0;80;
556;204;13;77;15;9;75;
557;204;72;60;79;68;82;
562;204;72;76;78;3;81;
565;204;12;68;71;58;8;
571;204;64;77;70;48;81;
572;204;94;85;33;18;88;
573;204;69;94;27;59;83;
574;204;79;99;76;66;84;
575;204;89;74;60;99;84;
576;204;78;93;83;12;77;
579;204;84;81;74;69;73;
581;204;71;93;85;23;74;
582;204;13;80;20;94;78;
584;204;87;91;70;33;83;
586;204;92;98;9;33;80;
397;205;77;34;85;85;96;
405;205;69;79;83;54;86;
419;205;69;75;72;39;79;Ocular-11
420;205;91;80;72;57;87;
421;205;75;15;86;21;93;
429;205;71;73;74;13;80;
433;205;70;85;78;36;90;
434;205;0;0;0;0;70;
436;205;98;20;78;53;91;
438;205;95;84;84;72;83;
439;205;95;77;80;80;85;
442;205;86;88;69;7;75;
465;205;80;82;85;86;97;
470;205;58;90;87;32;88;
477;205;0;0;0;0;80;
487;205;69;78;92;15;92;
488;205;92;49;61;19;86;
497;205;2;84;82;48;82;
500;205;76;89;86;86;90;
542;205;0;0;0;0;80;
543;205;0;0;0;0;80;
547;205;85;22;15;87;87;
558;205;68;85;82;26;90;
563;205;76;89;55;28;81;
568;205;26;92;84;43;90;
569;205;86;97;83;77;84;
574;205;2;91;84;22;87;
575;205;1;68;61;16;83;
580;205;71;75;76;79;70;Тупс
581;205;86;73;72;82;71;
582;205;73;77;78;50;78;Zum3
584;205;96;64;33;24;75;
585;205;70;77;3;71;75;
586;205;82;50;77;70;94;
408;206;1;93;76;6;97;
412;206;46;89;91;50;92;
413;206;22;71;82;34;98;
414;206;6;80;70;41;87;
416;206;75;71;77;46;81;
417;206;98;71;78;55;90;
433;206;11;73;70;80;73;
434;206;80;89;82;50;83;
438;206;80;43;80;9;90;
439;206;75;85;68;78;87;
442;206;85;17;79;12;97;
447;206;74;70;62;58;83;
449;206;24;78;82;53;74;
464;206;72;8;76;45;93;
469;206;81;67;78;79;88;
472;206;13;86;86;65;91;
488;206;52;85;75;68;92;
491;206;72;88;75;57;89;
542;206;32;92;6;32;82;
544;206;20;82;81;12;81;
559;206;86;69;75;48;80;
560;206;13;78;79;48;84;
562;206;83;90;84;20;91;
567;206;47;73;84;85;86;
574;206;80;78;73;9;88;
580;206;91;97;79;71;83;
582;206;15;99;93;89;78;Тупс
583;206;6;81;91;30;77;
585;206;81;85;81;96;78;
586;206;93;65;16;44;69;
587;206;69;80;73;39;76;
405;207;76;8;86;45;81;
406;207;62;78;72;82;90;
410;207;73;80;71;79;81;
413;207;0;0;0;0;80;
414;207;46;15;70;70;81;
415;207;71;80;33;53;89;
422;207;81;94;73;48;97;
431;207;91;88;78;75;80;
432;207;0;0;0;0;70;
433;207;26;6;91;73;80;
436;207;18;69;78;75;83;
441;207;88;78;75;40;87;
443;207;87;1;73;31;82;
444;207;0;0;0;0;70;
446;207;0;0;0;0;70;
450;207;80;89;93;59;82;
464;207;85;70;90;38;95;
465;207;25;92;77;11;91;
472;207;75;76;74;48;80;
492;207;75;14;77;39;99;
497;207;5;83;86;61;89;
541;207;68;79;33;71;94;
543;207;75;79;73;13;84;
557;207;65;87;84;5;65;
558;207;88;92;79;56;86;
560;207;73;79;84;60;83;
567;207;85;85;86;78;76;
572;207;17;88;8;77;68;
573;207;85;83;97;58;86;
575;207;72;68;69;62;93;
576;207;72;70;80;34;80;
578;207;84;98;88;77;87;Тупс
582;207;77;67;45;71;79;
583;207;82;84;78;80;87;
592;207;87;85;3;78;82;
401;208;60;75;81;14;81;
403;208;7;75;83;72;88;
408;208;61;21;74;71;93;
411;208;76;98;70;1;82;
417;208;19;97;48;43;82;
430;208;57;3;71;39;86;
434;208;74;90;85;11;90;
435;208;82;74;59;69;81;
440;208;12;66;89;42;80;
441;208;13;64;83;10;85;
442;208;3;74;74;88;80;
443;208;66;29;83;51;91;
446;208;93;1;75;16;85;
447;208;87;86;69;19;74;
448;208;0;0;0;0;70;
452;208;66;83;94;21;83;
463;208;77;87;73;3;88;
464;208;0;0;0;0;80;
465;208;78;83;85;70;90;
466;208;84;97;90;15;81;
467;208;87;22;74;85;82;
469;208;93;74;76;72;96;
470;208;83;87;80;40;86;
472;208;0;0;0;0;80;
482;208;79;31;79;86;96;
540;208;81;66;3;66;81;
542;208;88;75;66;40;81;
545;208;79;77;69;59;80;
558;208;63;71;69;58;79;
567;208;82;72;81;4;80;
568;208;74;79;68;76;83;
577;208;58;89;87;70;60;
578;208;80;68;71;8;84;
583;208;87;76;89;51;75;
398;209;77;69;84;45;84;
400;209;83;1;93;74;84;
402;209;74;8;84;80;81;
404;209;2;91;83;38;87;
405;209;69;72;96;91;83;
407;209;48;77;93;28;83;
415;209;77;2;68;82;86;
417;209;91;83;76;81;83;
419;209;77;64;72;55;81;
423;209;73;73;69;89;85;
429;209;87;80;70;86;85;
446;209;78;69;85;69;82;
448;209;77;31;88;33;81;
451;209;3;86;86;44;80;
464;209;75;79;84;90;85;
470;209;87;75;69;41;89;
477;209;75;1;96;85;89;
481;209;84;75;95;70;99;
493;209;71;72;65;92;78;Ocular-15
543;209;61;95;84;91;79;
544;209;66;71;81;7;75;
556;209;81;75;77;13;87;
561;209;1;81;88;98;82;
563;209;10;92;61;32;93;
572;209;17;87;82;73;84;
575;209;92;73;99;30;81;
576;209;93;78;62;81;78;
578;209;77;77;78;69;86;
580;209;78;97;77;80;83;
582;209;68;82;88;55;87;
419;210;0;0;0;0;80;
421;210;87;5;63;39;99;
425;210;75;82;73;53;97;
443;210;33;79;81;57;81;
444;210;28;69;75;69;80;
450;210;47;78;83;20;72;
452;210;74;92;76;79;87;
465;210;21;2;73;90;86;
470;210;76;74;64;97;78;Ocular-13
471;210;70;11;92;17;88;
473;210;0;0;0;0;80;
482;210;1;77;60;39;80;
501;210;0;0;0;0;70;
540;210;87;95;68;35;91;
542;210;73;97;70;75;81;
543;210;77;74;96;1;70;
544;210;78;99;73;58;97;
548;210;72;87;57;75;96;
549;210;45;89;85;77;93;Тупс
559;210;74;69;61;42;93;
564;210;59;82;9;39;81;
565;210;74;80;22;45;82;
566;210;71;75;73;54;96;
572;210;96;73;77;40;79;
573;210;16;80;31;95;83;
581;210;13;82;90;89;88;Тупс
582;210;11;68;71;54;76;
586;210;71;60;22;53;74;
420;211;6;75;74;29;90;
422;211;67;84;82;9;82;
445;211;74;73;79;6;73;Ocular-10
449;211;29;88;81;90;78;
450;211;70;89;87;92;87;
451;211;90;93;75;70;95;
468;211;81;15;78;36;82;
472;211;68;49;82;17;97;
474;211;88;77;79;4;85;
480;211;79;70;81;43;72;
484;211;59;80;93;9;89;
493;211;27;95;76;82;84;
497;211;72;89;81;52;87;
545;211;81;83;71;16;87;
548;211;78;85;68;59;75;
549;211;58;79;83;60;89;
552;211;4;81;70;45;82;
558;211;89;81;73;48;84;
559;211;81;86;97;41;78;
561;211;87;69;79;28;80;
566;211;81;59;98;30;87;
577;211;18;71;89;21;77;
580;211;66;71;69;85;75;
581;211;72;91;22;59;93;
582;211;97;75;76;47;91;Zum3
584;211;76;81;90;17;82;
586;211;77;88;83;6;88;
588;211;80;98;74;5;85;
590;211;70;44;26;19;81;
412;212;30;45;58;47;80;
417;212;83;68;88;8;91;
