x;y;o;e;m;t;s;
260;236;95;59;85;61;88;
261;236;76;61;83;96;90;
263;236;9;73;75;47;83;
264;236;72;97;93;40;93;
267;236;44;90;88;46;83;
268;236;84;97;79;57;84;
269;236;73;95;87;85;81;
270;236;81;95;88;86;82;
271;236;5;80;70;12;89;
274;236;80;98;79;55;78;
275;236;92;77;75;99;91;
276;236;20;67;80;69;81;
277;236;93;76;77;35;72;
278;236;92;67;82;11;77;
282;236;7;86;72;54;81;
283;236;84;73;88;88;63;
284;236;94;97;73;34;92;
285;236;91;78;38;39;75;
286;236;8;77;77;8;20;
287;236;74;93;99;15;83;
289;236;73;90;86;31;79;
290;236;79;69;84;72;90;
291;236;72;98;95;61;92;
293;236;66;85;5;73;77;
294;236;82;76;2;27;72;
295;236;66;85;57;14;88;
296;236;91;96;65;70;96;
297;236;79;85;76;57;14;
299;236;81;83;80;58;92;
300;236;89;87;76;51;17;
315;236;0;0;0;0;10;
337;236;71;71;16;43;91;
338;236;97;14;1;49;81;
340;236;96;74;81;45;81;
343;236;82;76;84;75;87;
344;236;67;85;76;63;80;
426;236;76;71;68;51;70;
441;236;70;74;72;29;79;
463;236;0;0;0;0;70;
541;236;72;78;73;51;74;
617;236;76;71;79;61;76;
683;236;73;66;74;22;77;
886;236;75;78;69;91;72;
957;236;74;65;79;73;75;
142;237;79;68;69;11;70;
162;237;73;71;61;87;73;
171;237;72;77;75;89;76;
231;237;76;73;74;5;79;
250;237;0;0;0;0;80;
251;237;68;83;70;92;72;
254;237;76;70;3;37;77;
255;237;73;76;73;4;92;
256;237;21;97;39;16;82;
257;237;85;73;99;42;79;
258;237;71;81;78;19;68;
259;237;96;86;83;62;87;
260;237;81;81;66;9;87;
262;237;80;90;86;16;70;
263;237;71;77;71;65;79;
264;237;75;70;10;67;92;
266;237;68;80;63;47;86;
269;237;74;76;83;71;89;
270;237;87;78;14;34;70;
271;237;11;79;90;33;77;
272;237;83;78;17;30;67;
274;237;83;78;90;73;69;
275;237;73;94;8;15;91;
278;237;78;42;75;25;12;
279;237;84;84;13;59;26;
280;237;8;89;7;85;70;
283;237;53;83;61;40;23;
284;237;67;72;76;80;89;
286;237;53;82;11;53;73;
287;237;37;82;76;36;68;
288;237;22;83;82;60;77;
289;237;94;69;99;76;65;
291;237;54;69;74;75;74;
293;237;83;68;78;80;98;
294;237;93;75;71;49;78;
295;237;18;71;22;60;93;
296;237;97;95;82;94;82;
297;237;36;73;79;2;99;
298;237;82;84;85;25;87;
299;237;93;89;78;14;73;
300;237;82;77;79;25;98;
329;237;78;79;77;42;75;
336;237;95;78;74;45;82;
363;237;78;75;72;86;78;
422;237;70;74;78;37;76;
540;237;79;73;62;45;71;
567;237;78;73;61;17;73;
572;237;75;78;61;44;75;
592;237;78;69;68;36;79;
638;237;72;76;77;23;74;
640;237;73;72;78;75;79;
819;237;72;78;72;51;78;
842;237;74;79;73;3;77;
904;237;76;75;65;20;74;
929;237;74;73;77;33;70;
245;238;72;73;78;99;75;
250;238;0;0;0;0;90;
251;238;98;68;84;8;92;
252;238;9;78;66;18;73;
253;238;0;0;0;0;70;
256;238;0;0;0;0;70;
257;238;77;76;57;69;92;
258;238;78;70;81;76;84;
259;238;71;94;86;20;93;
260;238;65;35;28;62;39;
261;238;0;0;0;0;70;
263;238;5;69;84;59;67;
264;238;73;77;76;45;76;
266;238;74;88;35;60;91;
270;238;88;71;69;33;88;
271;238;99;73;78;70;81;
272;238;74;92;45;42;14;
273;238;73;76;80;89;82;
274;238;9;86;35;25;11;
275;238;67;72;94;15;79;
277;238;73;94;8;30;84;
278;238;55;74;12;66;85;
279;238;72;95;68;80;90;
281;238;25;78;14;44;67;
282;238;26;85;83;28;92;
283;238;5;95;78;66;97;
284;238;73;73;65;76;75;
285;238;78;83;81;75;79;
286;238;92;90;79;36;68;
287;238;91;76;12;29;85;
288;238;86;74;74;32;20;
289;238;16;81;76;30;66;
290;238;4;61;88;27;11;
292;238;63;70;4;90;67;
293;238;96;76;79;64;27;
294;238;79;76;18;5;75;
297;238;84;75;71;10;68;
299;238;5;76;69;21;77;
300;238;86;79;81;61;68;
336;238;75;86;76;84;83;
341;238;78;88;86;42;80;
343;238;74;73;87;78;98;
345;238;81;22;48;11;87;
501;238;77;70;73;11;76;
625;238;78;70;72;34;71;
658;238;79;73;68;19;71;
682;238;78;76;61;75;70;
813;238;73;77;61;16;75;
884;238;75;73;62;49;73;
941;238;78;65;71;19;74;
943;238;73;77;72;12;72;
957;238;70;79;73;41;78;
40;239;76;78;73;42;77;
64;239;74;63;76;33;70;
81;239;71;73;69;17;70;
95;239;73;73;71;51;76;
194;239;74;76;74;5;75;
250;239;75;81;81;24;82;
251;239;11;71;13;33;74;
252;239;71;72;76;29;83;
253;239;10;89;79;81;74;
254;239;73;77;79;51;74;
255;239;8;80;6;26;80;
256;239;87;87;86;50;71;
257;239;72;95;68;14;84;
258;239;53;57;3;59;88;
259;239;78;99;90;59;81;
260;239;78;69;13;83;80;
261;239;47;70;69;9;76;
262;239;38;93;88;31;74;
263;239;88;78;69;8;76;
264;239;89;84;68;7;71;
266;239;75;70;84;8;18;
271;239;83;82;65;6;76;
272;239;87;68;79;85;79;
274;239;39;99;85;91;76;
275;239;83;89;7;75;20;
276;239;70;78;72;12;93;
277;239;65;80;93;7;10;
278;239;89;65;43;5;75;
280;239;82;77;77;55;78;
281;239;8;74;81;29;83;
282;239;66;82;79;68;75;
283;239;80;69;83;71;77;
284;239;85;77;18;21;74;
285;239;23;80;69;28;79;
286;239;5;69;77;30;98;
287;239;86;74;98;86;87;
288;239;78;69;78;61;75;
289;239;78;91;82;31;81;
290;239;44;89;72;40;96;
291;239;71;75;80;46;87;
292;239;67;86;6;77;87;
293;239;68;84;68;11;70;
294;239;71;78;85;15;76;
295;239;76;99;74;30;75;
297;239;83;88;85;51;91;
298;239;71;78;35;18;78;
299;239;96;77;88;87;76;
312;239;75;74;64;86;78;
316;239;74;79;71;9;77;
335;239;74;79;85;77;82;
338;239;78;76;71;58;83;
339;239;91;66;98;59;80;
340;239;95;76;68;2;88;
345;239;73;79;70;36;74;
419;239;0;0;0;0;0;
424;239;0;0;0;0;80;
506;239;0;0;0;0;80;
601;239;70;61;79;83;74;
639;239;73;78;69;76;79;
728;239;77;76;72;3;75;
927;239;74;77;70;47;79;
191;240;78;75;63;35;73;
254;240;88;67;79;39;83;
255;240;84;89;97;41;22;
256;240;81;72;69;96;75;
257;240;53;93;75;62;80;
258;240;84;79;82;55;67;
259;240;41;99;48;52;73;
262;240;39;75;82;38;86;
265;240;64;71;85;72;76;
266;240;83;83;63;86;94;
267;240;72;91;92;22;97;
268;240;62;41;61;73;81;
270;240;74;80;95;96;90;
271;240;26;49;73;50;84;
274;240;69;68;5;20;85;
275;240;82;80;5;42;65;
277;240;82;66;69;61;11;
281;240;69;74;72;76;84;
282;240;81;87;73;69;80;
283;240;78;89;61;11;78;
284;240;71;80;37;88;74;
285;240;77;82;44;75;81;
286;240;67;77;33;46;69;
287;240;81;83;84;24;73;
288;240;89;82;82;67;73;
289;240;51;99;77;10;81;
290;240;83;91;74;33;78;
291;240;76;87;80;83;90;
292;240;80;65;30;96;71;
295;240;90;71;78;41;90;
296;240;75;89;4;29;75;
299;240;72;86;45;74;75;
300;240;12;67;67;64;71;
328;240;72;71;72;40;77;
335;240;96;86;77;70;89;
341;240;82;89;77;28;96;
343;240;73;99;99;92;80;
344;240;79;70;90;13;91;
360;240;76;70;79;6;73;
567;240;79;71;75;33;71;
614;240;72;78;74;63;72;
648;240;74;73;78;10;77;
828;240;71;79;76;61;73;
886;240;77;75;69;65;76;
891;240;71;76;69;27;76;
900;240;77;75;70;74;74;
960;240;72;71;71;59;70;
966;240;73;79;62;21;72;
34;241;74;69;69;99;74;
75;241;77;70;77;43;79;
84;241;72;70;73;50;75;
128;241;70;74;78;78;78;
136;241;73;74;72;29;78;
250;241;66;85;56;49;79;
251;241;22;92;8;39;70;
252;241;95;74;80;20;73;
253;241;76;89;81;38;90;
254;241;75;80;84;18;77;
255;241;84;81;74;56;86;
256;241;0;0;0;0;70;
257;241;20;91;78;57;79;
258;241;82;81;75;32;91;
259;241;78;68;71;50;30;
261;241;81;73;32;34;76;
262;241;86;79;74;39;11;
263;241;97;87;88;7;41;
264;241;12;84;82;68;85;
266;241;77;74;80;17;75;
267;241;75;75;2;15;80;
268;241;93;85;83;55;77;
269;241;59;86;81;4;72;
270;241;81;85;85;42;85;
271;241;78;81;85;84;97;
272;241;76;84;81;65;75;
273;241;73;97;77;81;94;
274;241;72;97;70;45;68;
275;241;79;87;54;33;99;
276;241;82;71;88;55;84;
277;241;83;98;14;23;93;
278;241;89;69;71;68;72;
279;241;74;90;77;15;80;
280;241;77;74;78;3;76;
281;241;92;69;87;15;72;
282;241;87;87;73;10;90;
283;241;12;79;13;74;75;
284;241;1;84;88;72;79;
285;241;68;88;88;13;82;
286;241;73;83;80;23;83;
287;241;78;71;18;57;97;
288;241;84;84;7;83;67;
289;241;75;88;72;60;89;
290;241;1;56;84;59;62;
291;241;54;77;84;73;91;
292;241;84;75;72;38;79;
293;241;90;85;79;86;82;
294;241;85;87;83;86;80;
295;241;83;84;84;23;24;
296;241;31;77;79;14;72;
297;241;88;94;89;46;84;
298;241;69;90;69;55;79;
299;241;72;82;72;28;73;
300;241;61;89;10;23;69;
331;241;74;72;65;33;76;
339;241;77;74;77;26;75;
385;241;73;68;71;16;71;
398;241;72;74;71;82;76;
439;241;78;67;78;66;72;
555;241;77;76;75;98;75;
647;241;74;72;70;91;79;
659;241;76;77;79;43;75;
681;241;75;71;72;57;71;
821;241;73;77;63;19;78;
872;241;77;77;70;13;79;
904;241;77;77;75;69;77;
913;241;73;79;78;53;79;
928;241;76;79;68;73;72;
91;242;70;65;78;62;72;
216;242;71;73;60;63;76;
250;242;99;83;17;25;78;
251;242;84;70;92;23;83;
252;242;84;56;77;74;70;
253;242;19;85;2;47;80;
254;242;0;0;0;0;50;
255;242;0;0;0;0;70;
256;242;69;90;72;28;80;
258;242;90;82;8;30;82;
259;242;21;78;80;22;13;
260;242;76;86;88;76;69;
263;242;58;86;94;83;79;
265;242;18;81;74;13;92;
266;242;82;75;78;31;85;
267;242;70;78;73;43;24;
268;242;21;96;71;85;69;
270;242;73;87;75;92;79;
271;242;85;77;77;33;75;
272;242;4;87;88;70;73;
274;242;80;79;34;38;69;
275;242;78;84;18;40;83;
276;242;33;73;76;43;88;
277;242;17;75;25;60;81;
278;242;72;90;3;82;83;
279;242;93;84;81;88;88;
280;242;77;84;81;71;12;
281;242;84;76;3;56;82;
282;242;1;82;31;75;72;
283;242;62;87;9;71;15;
284;242;26;69;81;69;61;
285;242;39;68;76;42;80;
286;242;93;86;7;16;88;
287;242;75;78;69;31;81;
288;242;83;86;94;94;80;
289;242;74;87;88;97;72;
290;242;56;82;81;48;67;
291;242;59;77;81;26;64;
292;242;80;90;79;24;93;
293;242;60;89;14;67;70;
294;242;22;17;70;37;88;
295;242;74;74;78;42;97;
296;242;62;74;91;82;80;
298;242;84;78;90;64;83;
299;242;96;69;82;69;82;
300;242;87;80;82;18;89;
540;242;74;73;71;81;79;
638;242;79;79;66;87;76;
761;242;76;79;77;46;73;
910;242;76;76;74;66;79;
945;242;72;71;72;28;76;
954;242;79;67;73;7;76;
251;243;98;92;85;65;71;
252;243;11;74;75;26;71;
253;243;8;76;61;61;83;
254;243;6;87;77;40;27;
255;243;3;97;92;52;66;
256;243;70;71;19;58;99;
259;243;9;64;85;21;81;
260;243;76;85;81;87;86;
261;243;12;80;83;87;82;
263;243;53;90;9;34;11;
264;243;69;92;85;81;71;
265;243;82;83;73;90;97;
266;243;74;79;8;19;74;
268;243;74;80;43;89;78;
270;243;10;83;69;87;15;
271;243;80;83;89;50;73;
272;243;78;74;71;23;87;
275;243;69;61;82;58;69;
276;243;16;81;92;31;43;
277;243;83;71;89;16;81;
278;243;25;80;83;69;69;
279;243;10;82;87;23;71;
281;243;71;89;80;94;73;
282;243;90;72;83;85;87;
283;243;74;85;75;72;66;
284;243;64;94;31;30;74;
285;243;98;75;65;70;87;
286;243;58;68;77;1;74;
287;243;74;95;80;57;70;
289;243;39;73;76;57;71;
291;243;15;53;99;7;78;
292;243;82;58;76;55;10;
293;243;82;97;4;4;77;
295;243;66;99;80;18;97;
296;243;51;90;74;44;73;
298;243;52;79;82;79;23;
299;243;78;54;2;67;71;
300;243;71;82;47;2;80;
313;243;77;79;78;15;73;
320;243;79;73;77;91;70;
349;243;0;0;0;0;50;
363;243;78;74;70;29;74;
505;243;74;71;78;94;71;
695;243;75;77;68;29;73;
850;243;79;75;65;50;79;
30;244;73;73;67;9;71;
64;244;70;77;63;62;70;
153;244;77;78;69;29;77;
251;244;81;89;86;94;99;
252;244;1;80;70;28;87;
255;244;85;83;13;28;72;
256;244;77;57;73;37;71;
257;244;71;85;43;70;99;
258;244;80;83;89;58;77;
259;244;73;81;76;69;90;
260;244;7;83;79;58;87;
261;244;40;84;57;26;71;
262;244;69;83;81;25;75;
264;244;4;81;79;71;63;
265;244;76;75;78;43;95;
269;244;73;84;73;25;74;
270;244;78;87;87;27;73;
271;244;17;72;5;13;72;
274;244;69;81;70;19;83;
275;244;74;81;74;6;78;
277;244;71;85;81;84;77;
279;244;24;34;17;81;89;
280;244;80;90;86;39;10;
281;244;93;65;79;25;85;
282;244;18;93;94;96;86;
283;244;72;72;93;43;67;
284;244;80;76;83;89;93;
285;244;93;85;79;19;15;
286;244;92;92;63;85;24;
287;244;40;73;73;56;77;
288;244;86;77;68;54;70;
289;244;77;76;64;56;69;
290;244;73;80;74;68;94;
292;244;80;80;76;96;84;
293;244;71;70;73;11;76;
294;244;71;86;94;27;80;
295;244;76;85;64;56;70;
296;244;67;76;91;57;66;
297;244;66;93;68;82;76;
298;244;60;80;3;22;83;
299;244;12;90;79;3;87;
300;244;66;78;79;72;79;
312;244;0;0;0;0;60;
317;244;0;0;0;0;80;
320;244;0;0;0;0;80;
333;244;71;70;75;52;77;
344;244;0;0;0;0;80;
393;244;78;71;75;77;79;
420;244;75;72;65;16;79;
446;244;72;77;75;2;76;
686;244;75;75;71;66;73;
839;244;78;77;66;53;72;
902;244;74;79;71;76;70;
27;245;75;67;75;17;73;
250;245;87;9;88;69;86;
251;245;72;61;81;49;72;
252;245;78;77;84;84;92;
253;245;97;70;82;70;94;
254;245;31;77;16;28;82;
255;245;69;84;33;70;97;
257;245;70;77;71;35;76;
259;245;80;69;93;21;92;
260;245;85;79;76;28;85;
262;245;61;77;43;12;87;
266;245;17;61;82;48;69;
269;245;8;74;76;28;13;
271;245;73;97;66;66;72;
274;245;87;83;90;34;68;
275;245;92;81;84;56;76;
276;245;83;81;7;28;86;
277;245;85;91;88;38;91;
281;245;68;86;29;58;74;
282;245;82;78;75;73;79;
283;245;6;67;93;8;77;
284;245;21;66;25;70;65;
285;245;90;73;24;81;95;
286;245;72;71;72;71;91;
287;245;73;77;5;90;80;
288;245;12;83;74;26;88;
289;245;85;75;7;57;81;
290;245;73;83;81;4;94;
291;245;76;82;98;55;12;
292;245;82;78;94;60;82;
293;245;77;93;63;18;86;
294;245;59;79;68;66;68;
295;245;95;77;83;46;63;
296;245;88;68;73;43;81;
297;245;2;77;87;53;74;
298;245;6;84;75;28;85;
299;245;84;81;69;53;68;
300;245;75;79;58;88;66;
316;245;0;0;0;0;70;
332;245;76;76;64;77;77;
339;245;0;0;0;0;10;
366;245;75;62;67;40;77;
377;245;72;68;74;17;72;
591;245;78;73;68;77;76;
745;245;76;76;70;37;71;
908;245;77;65;72;97;73;
86;246;75;79;72;25;77;
136;246;70;74;73;36;71;
151;246;75;77;61;46;72;
172;246;79;72;69;80;74;
250;246;98;77;7;5;82;
251;246;29;53;77;51;89;
252;246;74;76;83;65;85;
253;246;86;85;71;78;80;
254;246;76;87;48;34;81;
256;246;69;90;25;73;91;
258;246;69;95;95;17;81;
259;246;88;94;92;52;85;
260;246;6;74;76;38;89;
261;246;73;73;57;64;12;
262;246;90;91;48;60;85;
263;246;77;96;92;40;75;
266;246;96;69;51;40;86;
268;246;76;86;94;52;81;
270;246;71;95;85;3;66;
271;246;5;69;9;48;12;
272;246;80;76;7;31;73;
273;246;72;84;77;88;80;
274;246;76;73;85;37;94;
275;246;72;84;14;53;82;
276;246;88;95;13;37;67;
277;246;95;79;81;22;82;
278;246;70;89;76;59;14;
281;246;87;79;77;78;75;
283;246;81;72;1;82;68;
284;246;90;75;76;87;84;
285;246;75;78;50;92;73;
286;246;73;92;87;73;75;
287;246;95;78;75;24;70;
289;246;71;70;66;31;72;
290;246;11;72;74;78;81;
291;246;86;77;78;67;75;
292;246;79;86;71;28;84;
293;246;82;78;79;54;86;
294;246;98;70;70;31;79;
295;246;56;76;63;44;85;
296;246;84;90;64;69;72;
297;246;59;98;71;39;75;
298;246;76;94;63;85;90;
300;246;78;84;69;60;84;
337;246;61;84;4;56;83;
339;246;83;88;78;32;86;
345;246;88;75;65;5;85;
347;246;88;77;79;37;80;
351;246;91;76;26;43;80;
353;246;85;6;97;19;88;
355;246;77;79;75;73;85;
363;246;83;89;69;78;80;
364;246;97;73;70;21;77;
365;246;77;82;70;81;78;
419;246;73;77;74;92;74;
425;246;70;70;79;71;71;
559;246;73;76;74;85;72;
621;246;74;75;78;74;78;
643;246;71;77;62;65;78;
778;246;76;76;73;23;76;
976;246;74;73;75;99;74;
33;247;78;78;72;9;73;
56;247;72;75;73;52;71;
61;247;69;64;77;6;71;
64;247;78;62;76;14;70;
70;247;73;71;77;48;74;
182;247;72;66;72;43;70;
251;247;80;70;56;52;67;
252;247;77;99;94;75;75;
253;247;73;92;89;51;75;
254;247;79;75;51;76;89;
256;247;65;86;87;39;80;
260;247;50;74;71;13;84;
263;247;6;70;64;73;74;
264;247;79;85;80;89;81;
265;247;77;81;1;18;83;
266;247;94;81;94;54;95;
269;247;69;78;73;82;74;
271;247;89;79;87;38;88;
272;247;65;79;82;59;72;
273;247;75;89;72;25;82;
274;247;49;79;81;8;84;
276;247;97;84;80;15;80;
277;247;79;86;84;62;80;
279;247;79;14;71;63;77;
280;247;47;90;68;59;75;
282;247;87;78;22;41;81;
283;247;96;65;76;80;81;
285;247;56;77;72;42;69;
286;247;53;98;48;43;70;
289;247;85;69;50;26;74;
290;247;84;90;77;13;70;
291;247;2;71;45;61;70;
292;247;74;87;58;40;73;
293;247;29;75;98;96;86;
294;247;71;81;55;41;73;
296;247;28;81;11;33;99;
297;247;82;99;85;41;75;
298;247;77;97;69;32;81;
299;247;81;75;74;48;71;
304;247;73;69;70;41;98;
336;247;73;5;70;67;94;
337;247;75;72;81;70;96;
338;247;74;75;84;70;88;
341;247;84;37;14;84;93;
342;247;96;67;75;12;86;
344;247;93;80;17;93;80;
345;247;92;3;88;18;96;
348;247;77;69;86;58;97;
350;247;86;77;83;49;94;
351;247;85;87;87;45;94;
352;247;51;75;71;86;83;
356;247;75;88;71;45;81;
358;247;75;15;64;44;86;
360;247;74;26;81;32;87;
361;247;0;0;0;0;50;
362;247;35;78;64;26;81;
363;247;89;73;76;71;87;
364;247;78;81;48;37;82;
366;247;88;90;86;35;94;
367;247;75;74;92;45;71;
408;247;77;72;73;43;72;
681;247;76;71;75;8;77;
782;247;75;70;76;88;73;
895;247;73;70;75;22;75;
217;248;73;75;66;94;78;
250;248;84;84;15;68;80;
253;248;52;93;71;86;29;
259;248;55;91;94;93;83;
262;248;86;86;80;94;21;
263;248;75;78;38;83;82;
267;248;82;73;45;18;88;
269;248;87;85;76;6;81;
270;248;94;79;89;20;89;
271;248;75;79;80;38;78;
272;248;65;84;73;65;82;
273;248;38;99;79;59;73;
276;248;74;79;15;38;86;
277;248;73;77;82;69;14;
278;248;84;93;83;87;72;
282;248;12;78;75;17;83;
283;248;3;85;70;43;90;
284;248;76;70;68;56;75;
285;248;85;89;91;54;96;
286;248;9;91;82;24;78;
287;248;21;72;77;64;13;
289;248;82;76;87;31;79;
292;248;78;73;85;94;91;
293;248;81;83;80;96;83;
295;248;56;70;46;18;76;
296;248;61;70;83;72;73;
298;248;16;72;60;14;74;
319;248;0;0;0;0;0;
331;248;0;0;0;0;70;
342;248;79;72;65;76;77;
343;248;92;31;1;5;82;
350;248;85;3;83;19;97;
351;248;89;84;74;52;81;
354;248;95;69;88;80;82;
356;248;87;98;81;69;86;
357;248;87;10;80;12;93;
360;248;75;71;83;70;84;
361;248;75;99;74;17;81;
362;248;75;72;82;56;87;
364;248;93;52;66;82;78;
365;248;71;82;73;32;82;
366;248;68;92;78;53;79;
394;248;73;74;71;53;79;
539;248;73;74;75;82;75;
614;248;77;76;74;53;72;
691;248;77;63;69;37;72;
700;248;79;68;74;10;77;
746;248;76;70;71;32;72;
748;248;70;64;74;7;75;
781;248;78;78;69;25;75;
878;248;70;75;72;75;70;
880;248;75;78;71;89;71;
939;248;76;78;69;79;70;
19;249;78;78;79;31;70;
215;249;78;72;72;77;79;
250;249;81;13;80;36;81;
252;249;78;93;77;77;67;
260;249;71;90;48;48;79;
266;249;78;86;75;61;80;
267;249;80;93;83;7;70;
268;249;72;85;75;8;97;
269;249;85;79;88;71;87;
271;249;16;86;12;53;75;
272;249;59;88;89;14;87;
273;249;2;47;93;91;80;
279;249;74;78;88;59;78;
282;249;78;82;70;57;79;
283;249;63;82;56;75;76;
284;249;24;64;99;59;92;
285;249;68;80;71;39;76;
286;249;72;75;80;8;76;
287;249;7;82;52;21;12;
288;249;81;88;88;5;15;
290;249;15;70;68;46;98;
293;249;69;73;61;21;73;
294;249;79;89;81;83;73;
295;249;76;82;96;80;63;
296;249;74;86;68;61;86;
298;249;90;70;71;44;90;
299;249;78;94;89;61;84;
300;249;81;75;96;17;79;
310;249;0;0;0;0;80;
316;249;0;0;0;0;90;
320;249;0;0;0;0;80;
329;249;0;0;0;0;70;
336;249;90;72;75;26;91;
339;249;75;75;20;25;87;
340;249;84;23;3;1;85;
345;249;85;7;51;42;83;
346;249;78;66;76;16;82;
350;249;84;65;49;69;80;
358;249;91;81;35;92;92;
362;249;0;0;0;0;70;
363;249;84;56;68;23;80;
364;249;73;79;95;40;96;
365;249;72;13;90;64;80;
366;249;89;89;75;3;76;
367;249;87;82;8;87;75;
387;249;75;73;69;53;75;
565;249;79;71;75;69;75;
618;249;76;72;72;26;70;
637;249;78;73;73;57;73;
686;249;73;70;76;39;76;
693;249;75;76;73;10;74;
765;249;76;71;74;26;71;
775;249;70;76;70;28;73;
26;250;71;77;78;87;75;
87;250;76;74;72;25;73;
104;250;77;74;69;53;75;
252;250;87;72;73;97;76;
259;250;95;67;74;79;88;
265;250;80;48;92;5;24;
266;250;87;75;92;13;16;
267;250;81;83;71;75;71;
268;250;30;72;79;22;96;
269;250;62;72;78;82;73;
272;250;71;58;84;45;96;
273;250;3;48;77;26;19;
274;250;69;86;95;53;81;
276;250;85;4;93;54;90;
279;250;72;80;82;34;99;
280;250;85;78;90;55;16;
281;250;94;16;91;24;78;
282;250;71;46;84;14;76;
283;250;80;71;83;18;93;
286;250;82;52;59;74;19;
287;250;15;80;98;47;95;
288;250;38;73;92;25;22;
289;250;75;69;73;53;90;
290;250;29;77;91;31;99;
291;250;78;9;73;84;69;
292;250;71;77;71;35;81;
293;250;8;64;79;64;80;
296;250;84;56;54;45;71;
297;250;5;7;80;23;77;
298;250;44;69;89;37;75;
299;250;75;81;67;21;30;
300;250;6;31;88;64;74;
305;250;78;86;82;48;82;
308;250;71;80;79;25;78;
312;250;70;70;84;46;84;
313;250;11;71;88;60;77;
315;250;74;69;72;99;68;
316;250;21;68;4;62;77;
317;250;34;35;71;15;81;
318;250;73;75;98;2;73;
319;250;78;72;74;36;78;
320;250;69;90;74;42;10;
321;250;87;51;6;54;76;
322;250;88;68;90;11;83;
324;250;79;79;12;51;94;
325;250;85;80;21;2;74;
327;250;77;77;68;93;71;
328;250;70;88;76;97;78;
329;250;85;71;76;14;13;
330;250;93;72;67;53;79;
331;250;1;85;85;48;70;
332;250;78;83;75;38;88;
333;250;93;88;77;24;23;
334;250;15;70;10;87;82;
335;250;71;74;81;12;69;
336;250;75;69;78;22;17;
337;250;80;71;68;68;75;
338;250;98;78;87;87;80;
339;250;99;67;71;90;28;
340;250;76;80;71;43;70;
341;250;7;71;85;68;29;
342;250;73;74;73;84;81;
344;250;18;76;86;71;76;
346;250;83;82;84;20;68;
347;250;64;86;74;72;68;
348;250;66;89;16;53;90;
349;250;87;40;87;32;98;
350;250;96;98;6;73;79;
351;250;80;78;69;72;87;
352;250;7;81;73;93;91;
355;250;17;39;79;31;87;
361;250;78;83;63;65;83;
362;250;0;0;0;0;10;
365;250;67;83;71;61;83;
367;250;1;96;61;63;75;
429;250;73;70;73;13;76;
488;250;78;71;75;11;74;
521;250;73;76;72;88;73;
552;250;71;77;73;47;73;
688;250;73;79;72;85;74;
755;250;75;77;78;7;71;
831;250;76;69;78;65;73;
22;251;79;60;77;7;71;
251;251;72;87;99;14;79;
253;251;58;74;79;23;76;
254;251;78;88;72;79;65;
264;251;93;86;75;46;78;
266;251;81;75;73;64;84;
267;251;87;71;83;34;72;
269;251;67;78;95;92;72;
271;251;54;77;72;38;74;
272;251;72;65;87;22;78;
273;251;70;86;74;42;82;
274;251;67;22;92;62;69;
275;251;91;81;88;67;24;
276;251;85;73;68;63;68;
277;251;86;80;86;72;85;
278;251;82;87;81;10;78;
279;251;92;75;91;25;75;
281;251;74;89;92;9;71;
282;251;8;75;81;21;85;
283;251;80;99;84;39;74;
284;251;94;73;84;77;23;
285;251;76;84;97;53;86;
286;251;70;6;61;9;91;
289;251;94;79;63;87;76;
290;251;69;74;84;48;94;
291;251;70;19;77;69;77;
292;251;78;25;99;60;73;
293;251;73;21;58;38;89;
294;251;85;82;95;32;80;
295;251;83;71;68;77;84;
296;251;86;87;83;75;68;
297;251;69;97;79;51;80;
300;251;74;86;82;38;75;
302;251;64;88;60;31;89;
304;251;69;85;4;77;72;
305;251;87;82;9;72;70;
306;251;92;99;87;84;78;
309;251;76;89;72;30;90;
313;251;41;72;47;8;76;
316;251;83;85;82;88;93;
318;251;79;75;78;40;74;
320;251;12;83;79;51;76;
321;251;80;82;81;17;76;
322;251;39;72;3;89;78;
323;251;74;77;30;79;87;
324;251;67;80;3;52;28;
325;251;72;69;85;85;81;
327;251;51;78;82;78;72;
328;251;81;95;70;58;72;
329;251;66;17;76;6;81;
330;251;78;74;76;8;68;
331;251;78;83;74;3;72;
332;251;91;76;24;32;65;
333;251;82;78;77;71;99;
334;251;14;94;74;21;70;
335;251;64;80;23;16;10;
336;251;96;80;70;79;89;
338;251;74;85;72;62;99;
339;251;4;81;21;4;69;
340;251;92;69;76;54;93;
341;251;97;87;10;55;91;
342;251;71;66;83;64;74;
344;251;84;61;84;81;48;
345;251;94;93;3;29;97;
346;251;5;69;75;36;92;
347;251;72;82;69;87;84;
348;251;76;81;78;33;74;
350;251;3;91;84;38;89;
354;251;72;90;93;99;85;
359;251;71;73;76;41;71;
362;251;76;70;99;70;98;
363;251;71;87;70;12;86;
366;251;1;4;70;99;77;
367;251;69;13;79;5;73;
477;251;76;73;75;38;77;
500;251;79;77;71;59;78;
536;251;73;75;78;43;78;
612;251;79;77;75;34;75;
679;251;79;71;78;31;70;
687;251;71;79;77;70;71;
722;251;71;74;75;17;71;
810;251;79;65;69;81;73;
211;252;75;79;68;41;73;
251;252;76;75;77;31;64;
252;252;69;86;71;85;71;
253;252;84;81;71;72;69;
254;252;93;74;75;58;83;
255;252;68;78;70;92;90;
256;252;80;78;82;63;82;
257;252;72;78;83;68;62;
260;252;82;91;98;9;77;
262;252;58;87;91;36;72;
263;252;3;93;87;95;75;
269;252;78;40;53;87;72;
272;252;50;70;67;49;79;
